"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"63","AZ","Pretty happy","Not important","Somewhat important","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days",NA,NA,"Very closely","Favor","Yes","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"25","UT","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Not important","Yes","About once a day","50",NA,"Fairly closely","Favor","Yes","Yes","No","Yes","Yes","Yes","Yes","6","Full-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"73","TX","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Somewhat important","One of the most important things","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"81","AZ","Very happy","Not important","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","One of the most important things","One of the most important things","No",NA,NA,NA,"Very closely","Favor","Yes","No","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"36","CA","Pretty happy","Very important but not the most","Very important but not the most","(VOL) Don't know/Refused","Very important but not the most","Very important but not the most","Somewhat important","(VOL) Don't know/Refused","Very important but not the most","No",NA,NA,NA,"Not too closely","(VOL) Don't know/Refused","Yes","Yes","(VOL) Don't know/Refused","No",NA,"Yes","No",NA,"Not employed",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"92","CA","Pretty happy","Not important","One of the most important things","Not important","One of the most important things","(VOL) Don't know/Refused","Not important","Somewhat important","One of the most important things",NA,NA,NA,NA,"Fairly closely","Oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","(VOL) Don't know/Refused"
"45","WA","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Favor","Yes","Yes","No",NA,NA,NA,"No",NA,"Full-time",NA,NA,NA,"None, or grade 1-8","Not covered by health insurance"
"77","CA","Very happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"21","CA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Not at all closely","Strongly oppose","Yes","No","No",NA,NA,"No","No",NA,"Part-time",NA,"Yes","Rent","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"68","CA","Not too happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"31","WA","Very happy","One of the most important things","One of the most important things","Somewhat important","One of the most important things","(VOL) Don't know/Refused","Not important","One of the most important things","One of the most important things","Yes","Several times a day",NA,NA,"Not at all closely","Oppose","Yes","No","Yes","No",NA,NA,"No",NA,"Not employed",NA,"Yes",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"46","CA","Pretty happy","Not important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","One of the most important things","No",NA,"0",NA,"Very closely","Strongly favor","Yes","Yes","No","No","No","No","No",NA,"Part-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"63","CA","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Very closely","Oppose","Yes","No","Yes","No","No","No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"63","WA","Very happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things","Yes","Several times a day",NA,NA,"Not too closely","Strongly favor","Yes","Yes","No","No",NA,"Yes","No",NA,"Not employed","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"67","WA","Very happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,"0",NA,"Fairly closely","Oppose","Yes","No","Yes","No","No","No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"22","WA","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Less often",NA,NA,"Not too closely","Strongly oppose","Yes","Yes","No","No",NA,"Yes","No",NA,"Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
